colonne,taux_nan,taux_nan_%
ancien_id_parcelle,0.9999971289271662,99.99971289271662
ancien_code_commune,0.9999450394628961,99.99450394628961
ancien_nom_commune,0.9999450394628961,99.99450394628961
lot5_surface_carrez,0.9996874632143793,99.96874632143793
lot4_surface_carrez,0.9991267837052672,99.91267837052672
numero_volume,0.9977185224802952,99.77185224802952
lot5_numero,0.9972977052335146,99.72977052335146
lot3_surface_carrez,0.9966564306084255,99.66564306084254
lot4_numero,0.9943335276092617,99.43335276092617
lot3_numero,0.9832651316817556,98.32651316817555
lot2_surface_carrez,0.9706065715575939,97.06065715575939
adresse_suffixe,0.955647051633784,95.5647051633784
nature_culture_speciale,0.9550109039244694,95.50109039244694
code_nature_culture_speciale,0.9550109039244694,95.50109039244694
lot1_surface_carrez,0.9092855827437039,90.92855827437039
lot2_numero,0.9062153805012318,90.62153805012318
lot1_numero,0.6918362684584348,69.18362684584348
surface_reelle_bati,0.6816093019478588,68.16093019478589
nombre_pieces_principales,0.42213691490099103,42.2136914900991
type_local,0.42147779860900625,42.14777986090063
