scope,model,MAE,RMSE,SMAPE
DEP_13,arima,147.60828219987357,167.28099947644873,0.04133549589016588
DEP_13,prophet,188.80613384923734,214.14616757085773,0.05236794879064465
DEP_13,xgb,54.70615177671261,60.562061033604856,0.01566241745520227
DEP_33,arima,123.0847903142882,137.70754015659233,0.03565848516864882
DEP_33,prophet,208.15581211275781,227.4338611453813,0.0599412141191699
DEP_33,xgb,106.35151295421012,116.891850107797,0.03103156320078179
DEP_59,arima,77.64595064176774,91.64695781548055,0.03994099989528822
DEP_59,prophet,164.12026373701366,180.42872917672318,0.08097574324165625
DEP_59,xgb,73.93566895959829,82.43508110203256,0.0372628189191742
DEP_6,arima,93.85619339848066,106.5806917856299,0.019888283377272057
DEP_6,prophet,130.5781954040756,146.98432027453592,0.02751226600482709
DEP_6,xgb,93.84929996725828,103.31118278052362,0.020199335527071878
DEP_75,arima,403.9999554658649,467.5741147093565,0.04236437796853485
DEP_75,prophet,317.62041562138205,362.03629779168523,0.03289179384390729
DEP_75,xgb,458.51435019515236,484.72503233248773,0.04584363178596081
