code_departement,prix_m2_median,n_mutations
1,2286.3636363636365,45159
2,1132.0754716981132,33001
3,1023.2,26775
4,2044.5810914681012,16821
5,2496.670206966747,18282
6,4410.838059231254,139915
7,1688.3116883116884,23629
8,1092.1308576480992,16024
9,1312.4404761904761,14022
10,1435.1145038167938,22085
11,1750.0,42602
12,1394.1555555555556,20511
13,3332.063975628332,150227
14,2415.555555555556,65485
15,1143.75,10005
16,1200.0,27697
17,2554.1829018200465,69814
18,1052.9411764705883,23531
19,1184.2105263157894,18301
21,2202.3809523809523,44374
22,1602.5641025641023,55950
23,770.8333333333334,9649
24,1236.842105263158,36375
25,1888.2526707260756,38058
26,1958.3333333333333,38185
27,1530.6122448979593,43799
28,1681.8568033273914,32208
29,1823.5294117647056,80476
30,2222.222222222222,61656
31,2734.066731141199,108188
32,1321.4505224339275,14935
33,3377.2945998071364,128990
34,2986.5895345779645,120875
35,2586.206896551724,81655
36,944.4049145299145,16294
37,2101.8880699818346,46400
38,2451.6129032258063,94350
39,1381.25,17777
40,2387.0967741935483,39481
41,1289.312300602623,24908
42,1379.3103448275865,54958
43,1213.0145909327775,15388
44,3066.6666666666665,116068
45,1711.391018619934,48969
46,1264.5046117227016,14297
47,1222.2222222222222,27501
48,1312.5,4849
49,1953.64238410596,57149
50,1531.25,40118
51,1961.1752479254992,37758
52,950.1131221719456,10102
53,1345.679012345679,23093
54,1768.2637548416787,53808
55,944.8265657969225,11456
56,2307.692307692308,67519
58,946.804255319149,17166
59,1967.741935483871,174255
60,2095.2380952380954,53566
61,1061.5384615384614,20797
62,1579.5454545454545,91487
63,1789.112094588836,47978
64,2500.0,58295
65,1520.1094557616298,20960
66,2220.1039169045353,60384
69,3732.8868986985894,123978
70,1009.8252442002442,14084
71,1213.5922330097087,39744
72,1405.251796557295,41678
73,3199.7145236112765,46507
74,4037.0214621686446,78128
75,10450.75274919425,158076
76,1915.7894736842104,92661
77,2905.1724137931037,94321
78,3821.6382313863915,91010
79,1200.0,31201
80,1623.4552944027137,39875
81,1395.7627118644068,27103
82,1483.3333333333333,19115
83,3415.5720939402154,127116
84,2371.794871794872,42555
85,2225.0,66990
86,1352.3809523809523,33118
87,1285.7142857142858,28590
88,1106.5573770491803,25331
89,1239.8823529411766,26490
90,1393.3962264150944,8819
91,3175.294117647059,79561
92,6930.144146998257,101247
93,3956.043956043956,72710
94,4956.216302172255,79630
95,3405.572095214475,72044
